date,GDP_growth,Inflation,Unemployment,Exports_pct_GDP,Imports_pct_GDP,GDP_per_capita,Agriculture_pct_GDP,Industry_pct_GDP,Services_pct_GDP,year,Copper_Price_USD,Volume,ZMW_per_USD,month,quarter,GDP_growth_lag_1,GDP_growth_lag_3,GDP_growth_lag_12,Copper_MA_3,Copper_MA_12,Forex_MA_3,Forex_MA_12,Economic_Trend
2014-01-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,3.3551428545088995,6211.0,0.1820922675340072,1,1,5.05753695047252,5.05753695047252,5.05753695047252,3.3043944599136474,3.3151191252524375,0.18210641610195347,0.18629465872056436,Growth
2014-02-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,3.2854473716334294,49366.0,0.1769758783280849,2,1,4.69328316376705,5.05753695047252,5.05753695047252,3.327426910798751,3.2833691269841094,0.18032783316902334,0.1852183036407545,Growth
2014-03-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,3.0723809628259566,10763.0,0.1657663321211224,3,1,4.69328316376705,5.05753695047252,5.05753695047252,3.237657062989429,3.2505279593733207,0.17494482599440483,0.183357760264831,Growth
2014-04-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,3.069333326248896,43361.0,0.1624510735273361,4,2,4.69328316376705,4.69328316376705,5.05753695047252,3.142387220236094,3.2332072524274995,0.16839776132551446,0.18124667996465518,Growth
2014-05-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,3.132023822693598,9062.0,0.1518869711594148,5,2,4.69328316376705,4.69328316376705,5.05753695047252,3.09124603725615,3.219290676923084,0.1600347922692911,0.17813338845978996,Growth
2014-06-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,3.0978571346827914,49810.0,0.1586380884760902,6,2,4.69328316376705,4.69328316376705,5.05753695047252,3.099738094541762,3.2124912715356135,0.15765871105428034,0.17580987405633985,Growth
2014-07-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,3.22590912472118,8382.0,0.1633839892304462,7,3,4.69328316376705,4.69328316376705,5.05753695047252,3.151930027365857,3.21946286559472,0.15796968295531708,0.1741156568940521,Growth
2014-08-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,3.15764281863258,36634.0,0.1645028115738006,8,3,4.69328316376705,4.69328316376705,5.05753695047252,3.1604696926788507,3.209114918481966,0.16217496309344567,0.17236817174595387,Growth
2014-09-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,3.091952392033168,10021.0,0.163570186631246,9,3,4.69328316376705,4.69328316376705,5.05753695047252,3.158501445128976,3.1940047016600235,0.16381899581183093,0.17024840715439607,Growth
2014-10-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,3.036152165869008,5508.0,0.1589324176311493,10,4,4.69328316376705,4.69328316376705,5.05753695047252,3.0952491255115855,3.1734902082567955,0.1623351386120653,0.1677022497487126,Growth
2014-11-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,3.017605241976286,72189.0,0.1584347158670425,11,4,4.69328316376705,4.69328316376705,5.05753695047252,3.048569933292821,3.156928143506643,0.16031244004314593,0.1657125071437265,Growth
2014-12-01,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887,2014,2.898090915246444,7827.0,0.1586725530417069,12,4,4.69328316376705,4.69328316376705,5.05753695047252,2.9839494410305796,3.119961510922687,0.15867989551329956,0.16377560709345393,Growth
2015-01-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.653224992752075,7331.0,0.1553802605379711,1,1,4.69328316376705,4.69328316376705,4.69328316376705,2.8563070499916017,3.0614683557762845,0.15749584314890683,0.16154960651045092,Stable
2015-02-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.623631565194381,59404.0,0.149258891493082,2,1,2.92037511217961,4.69328316376705,4.69328316376705,2.7249824910642997,3.0063170385730302,0.15443723502425333,0.159239857607534,Stable
2015-03-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.707931821996516,12915.0,0.1375306567007845,3,1,2.92037511217961,4.69328316376705,4.69328316376705,2.6615961266476575,2.9759462768372433,0.14738993624394586,0.1568868846558392,Stable
2015-04-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.7527619089399065,40379.0,0.1358296004208651,4,2,2.92037511217961,2.92037511217961,4.69328316376705,2.694775098710268,2.9495653253948277,0.14087304953824387,0.15466842856363325,Stable
2015-05-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.89337500333786,12419.0,0.1383667864969798,5,2,2.92037511217961,2.92037511217961,4.69328316376705,2.7846895780914274,2.9296779237818495,0.13724234787287645,0.15354174650843036,Stable
2015-06-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.675340912558816,42969.0,0.1374014697291634,6,2,2.92037511217961,2.92037511217961,4.69328316376705,2.7738259416121944,2.8944682386048517,0.13719928554900276,0.15177202827951977,Stable
2015-07-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.482204556465149,14929.0,0.1312857561785241,7,3,2.92037511217961,2.92037511217961,4.69328316376705,2.683640157453942,2.832492857916849,0.13568467080155575,0.14909717552519294,Stable
2015-08-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.333214294342768,55373.0,0.125503404154664,8,3,2.92037511217961,2.92037511217961,4.69328316376705,2.496919921122244,2.7637904808926983,0.13139687668745048,0.14584722490693156,Stable
2015-09-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.370571431659517,12924.0,0.0999101322482932,9,3,2.92037511217961,2.92037511217961,4.69328316376705,2.395330094155811,2.703675400861561,0.1188997641938271,0.14054222037501882,Stable
2015-10-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.3678636334159155,6702.0,0.0835626369172876,10,4,2.92037511217961,2.92037511217961,4.69328316376705,2.3572164531394,2.6479846898238026,0.10299205777341493,0.13426140531553035,Stable
2015-11-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.1553750038146973,78234.0,0.0818810807097525,11,4,2.92037511217961,2.92037511217961,4.69328316376705,2.2979366896300433,2.576132169977004,0.08845128329177776,0.1278819357190895,Stable
2015-12-01,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756,2015,2.082159096544439,12487.0,0.0930091832642969,12,4,2.92037511217961,2.92037511217961,4.69328316376705,2.2017992445916836,2.5081378517518367,0.086150966963779,0.12240998823763867,Stable
2016-01-01,3.75510031678988,17.8697300795268,5.244,35.3246757489657,38.6338855056502,1239.08527877713,6.22847198956029,34.8771666095938,54.1825064091292,2016,2.0094473424710726,8215.0,0.0903350317052432,1,1,2.92037511217961,2.92037511217961,2.92037511217961,2.0823271476100698,2.4544897142284197,0.08840843189309754,0.11698955250157801,Stable
