Date,Copper_Price_USD,Volume,YearMonth
2021-08-24,4.255000114440918,702,2021-08
2021-08-25,4.264999866485596,432,2021-08
2021-08-26,4.245999813079834,549,2021-08
2021-08-27,4.316500186920166,23166,2021-08
2021-08-30,4.361000061035156,5691,2021-08
2021-08-31,4.360000133514404,2262,2021-08
2021-09-01,4.263000011444092,1315,2021-09
2021-09-02,4.289999961853027,1105,2021-09
2021-09-03,4.325500011444092,747,2021-09
2021-09-07,4.277500152587891,746,2021-09
2021-09-08,4.23199987411499,929,2021-09
2021-09-09,4.2835001945495605,645,2021-09
2021-09-10,4.447999954223633,904,2021-09
2021-09-13,4.363500118255615,630,2021-09
2021-09-14,4.317999839782715,505,2021-09
2021-09-15,4.403500080108643,624,2021-09
2021-09-16,4.278500080108643,589,2021-09
2021-09-17,4.245500087738037,808,2021-09
2021-09-20,4.117000102996826,759,2021-09
2021-09-21,4.127999782562256,576,2021-09
2021-09-22,4.252500057220459,540,2021-09
2021-09-23,4.230999946594238,496,2021-09
2021-09-24,4.287499904632568,590,2021-09
2021-09-27,4.293499946594238,669,2021-09
2021-09-28,4.244999885559082,805,2021-09
2021-09-29,4.199999809265137,793,2021-09
2021-09-30,4.090000152587891,877,2021-09
2021-10-01,4.19350004196167,969,2021-10
2021-10-04,4.246500015258789,446,2021-10
2021-10-05,4.202000141143799,289,2021-10
2021-10-06,4.1570000648498535,384,2021-10
2021-10-07,4.250999927520752,641,2021-10
2021-10-08,4.2829999923706055,340,2021-10
2021-10-11,4.374499797821045,241,2021-10
2021-10-12,4.328999996185303,494,2021-10
2021-10-13,4.520500183105469,362,2021-10
2021-10-14,4.631499767303467,285,2021-10
2021-10-15,4.734000205993652,356,2021-10
2021-10-18,4.730500221252441,601,2021-10
2021-10-19,4.714000225067139,764,2021-10
2021-10-20,4.75600004196167,587,2021-10
2021-10-21,4.58650016784668,618,2021-10
2021-10-22,4.526000022888184,558,2021-10
2021-10-25,4.551499843597412,493,2021-10
2021-10-26,4.486499786376953,249,2021-10
2021-10-27,4.38700008392334,756,2021-10
2021-10-28,4.4375,892,2021-10
2021-10-29,4.375500202178955,716,2021-10
2021-11-01,4.4019999504089355,442,2021-11
2021-11-02,4.374000072479248,315,2021-11
2021-11-03,4.326000213623047,305,2021-11
2021-11-04,4.326000213623047,376,2021-11
2021-11-05,4.348999977111816,327,2021-11
2021-11-08,4.40500020980835,222,2021-11
2021-11-09,4.380000114440918,402,2021-11
2021-11-10,4.328000068664551,370,2021-11
2021-11-11,4.4045000076293945,330,2021-11
2021-11-12,4.45550012588501,295,2021-11
2021-11-15,4.4070000648498535,384,2021-11
2021-11-16,4.358500003814697,274,2021-11
2021-11-17,4.2729997634887695,437,2021-11
2021-11-18,4.309999942779541,326,2021-11
2021-11-19,4.4085001945495605,410,2021-11
2021-11-22,4.395500183105469,470,2021-11
2021-11-23,4.423500061035156,325,2021-11
2021-11-24,4.458000183105469,368,2021-11
2021-11-26,4.281499862670898,51189,2021-11
2021-11-29,4.336999893188477,6009,2021-11
2021-11-30,4.2779998779296875,2030,2021-11
2021-12-01,4.247499942779541,1392,2021-12
2021-12-02,4.298999786376953,834,2021-12
2021-12-03,4.266499996185303,891,2021-12
2021-12-06,4.336999893188477,712,2021-12
2021-12-07,4.3379998207092285,887,2021-12
2021-12-08,4.390999794006348,950,2021-12
2021-12-09,4.329999923706055,651,2021-12
2021-12-10,4.2829999923706055,529,2021-12
2021-12-13,4.28000020980835,504,2021-12
2021-12-14,4.254000186920166,585,2021-12
2021-12-15,4.179500102996826,1004,2021-12
2021-12-16,4.30049991607666,687,2021-12
2021-12-17,4.290999889373779,548,2021-12
2021-12-20,4.288000106811523,490,2021-12
2021-12-21,4.3379998207092285,761,2021-12
2021-12-22,4.389500141143799,1030,2021-12
2021-12-23,4.38700008392334,880,2021-12
2021-12-27,4.465000152587891,421,2021-12
2021-12-28,4.420000076293945,543,2021-12
2021-12-29,4.4019999504089355,695,2021-12
2021-12-30,4.384500026702881,832,2021-12
2021-12-31,4.454999923706055,373,2021-12
2022-01-03,4.4145002365112305,544,2022-01
2022-01-04,4.466000080108643,499,2022-01
2022-01-05,4.4045000076293945,724,2022-01
2022-01-06,4.3480000495910645,522,2022-01
2022-01-07,4.4029998779296875,618,2022-01
2022-01-10,4.3445000648498535,787,2022-01
2022-01-11,4.420499801635742,554,2022-01
2022-01-12,4.564000129699707,1192,2022-01
2022-01-13,4.533999919891357,991,2022-01
2022-01-14,4.411499977111816,1236,2022-01
2022-01-18,4.375999927520752,1000,2022-01
2022-01-19,4.462500095367432,1172,2022-01
2022-01-20,4.576499938964844,1441,2022-01
2022-01-21,4.512499809265137,1052,2022-01
2022-01-24,4.4029998779296875,1533,2022-01
2022-01-25,4.442999839782715,469,2022-01
2022-01-26,4.504499912261963,873,2022-01
2022-01-27,4.413000106811523,1211,2022-01
2022-01-28,4.302999973297119,1471,2022-01
2022-01-31,4.317999839782715,882,2022-01
2022-02-01,4.428999900817871,859,2022-02
2022-02-02,4.491000175476074,422,2022-02
2022-02-03,4.4664998054504395,500,2022-02
2022-02-04,4.483500003814697,444,2022-02
2022-02-07,4.46150016784668,686,2022-02
2022-02-08,4.459499835968018,398,2022-02
2022-02-09,4.600500106811523,425,2022-02
2022-02-10,4.65749979019165,415,2022-02
2022-02-11,4.505000114440918,489,2022-02
2022-02-14,4.507500171661377,420,2022-02
2022-02-15,4.531499862670898,310,2022-02
2022-02-16,4.540500164031982,577,2022-02
2022-02-17,4.525000095367432,516,2022-02
2022-02-18,4.519499778747559,647,2022-02
2022-02-22,4.510000228881836,818,2022-02
2022-02-23,4.481500148773193,975,2022-02
2022-02-24,4.453999996185303,50571,2022-02
2022-02-25,4.4720001220703125,14457,2022-02
2022-02-28,4.444499969482422,1803,2022-02
2022-03-01,4.58650016784668,1777,2022-03
2022-03-02,4.6554999351501465,1446,2022-03
2022-03-03,4.771500110626221,1055,2022-03
2022-03-04,4.928999900817871,1241,2022-03
2022-03-07,4.7220001220703125,987,2022-03
2022-03-08,4.700500011444092,1207,2022-03
2022-03-09,4.564000129699707,944,2022-03
2022-03-10,4.643499851226807,1067,2022-03
2022-03-11,4.616000175476074,970,2022-03
2022-03-14,4.512499809265137,743,2022-03
2022-03-15,4.501500129699707,788,2022-03
2022-03-16,4.5879998207092285,664,2022-03
2022-03-17,4.690499782562256,939,2022-03
2022-03-18,4.730500221252441,685,2022-03
2022-03-21,4.701499938964844,555,2022-03
2022-03-22,4.689000129699707,488,2022-03
2022-03-23,4.762499809265137,490,2022-03
2022-03-24,4.729000091552734,893,2022-03
2022-03-25,4.685999870300293,667,2022-03
2022-03-28,4.714000225067139,470,2022-03
2022-03-29,4.7164998054504395,333,2022-03
2022-03-30,4.739500045776367,1146,2022-03
2022-03-31,4.743000030517578,708,2022-03
2022-04-01,4.682499885559082,1077,2022-04
2022-04-04,4.776500225067139,473,2022-04
2022-04-05,4.790999889373779,377,2022-04
2022-04-06,4.733500003814697,379,2022-04
2022-04-07,4.695000171661377,328,2022-04
2022-04-08,4.71999979019165,327,2022-04
2022-04-11,4.628499984741211,352,2022-04
2022-04-12,4.703999996185303,343,2022-04
2022-04-13,4.706999778747559,480,2022-04
