date,GDP_growth,Inflation,Unemployment,Exports_pct_GDP,Imports_pct_GDP,GDP_per_capita,Agriculture_pct_GDP,Industry_pct_GDP,Services_pct_GDP
1960,,,,,,221.559848922849,11.4606291324384,62.1518733720697,
1961,1.36138199147489,,,,,209.693206426951,12.7615921214608,59.4173163725892,
1962,-2.49083947454871,,,,,202.28103119051,12.3454245671888,58.037922506183,
1963,3.27239289272524,,,,,203.219451227586,13.0192804611409,57.7419996024647,
1964,12.2140480179323,,,,,229.979245632097,11.9809394145677,58.1347855684139,
1965,16.6474559632126,,,,,287.42547598963,14.3139841688654,53.8126649076517,
1966,-5.57030980860466,,,,,325.025847276562,13.4463276836158,58.8474576271187,
1967,7.91969651199875,,,,,340.579940386412,12.8446115288221,52.140768588137,
1968,1.24832998222797,,,,,387.087288652294,11.3868872876079,54.5947869406636,
1969,-0.436915823088214,,,,,458.981650783744,9.66569767441861,62.405523255814,
1970,4.79711290318896,,,,,413.904675224945,10.6519527275573,54.7233309853643,
1971,-0.0860395508674401,,,,,372.144071511389,13.040901007706,46.1935811669066,
1972,9.20886514231279,,,,,409.781146356948,12.8747663551402,47.5738317757009,
1973,-0.962048756426327,,,,,517.630055161873,11.309111516907,53.6175303822178,
1974,6.42815854892096,,,,,601.101371432691,10.6454540601143,54.7861833324435,
1975,-2.26932892418952,,,,,489.505018740558,13.1109979633401,41.6687881873727,
1976,6.22097526707175,,,,,533.231631721853,14.1987829614604,40.5679513184584,
1977,-4.5642361743654,,,,,474.362362443019,16.3914619412002,37.6560612162706,
1978,0.553763844248408,,,,,514.334878626644,16.1283156351357,39.3699737859333,
1979,-3.02393103121803,,,,,595.455849101956,14.9300857013983,41.9899263268681,
1980,3.03562235066106,,,,,669.419722015371,13.9835487661575,39.1010575793185,
1981,6.16795740650589,,,,,669.886829361684,15.6251793194468,36.850863602456,
1982,-2.81278262868891,,,,,626.532533448195,13.4620198592607,35.2960809946319,
1983,-1.96668929762134,,,,,520.45583354177,14.1992729359992,40.0578781211136,30.6251793743423
1984,-0.336834899256019,,,,,413.269974271735,14.5447170959237,39.2313932265261,35.1206651794768
1985,1.61531036759311,,,,,332.173737253298,13.0827641793577,42.0339654124069,34.6710219318712
1986,0.723893955923913,55.8282208588966,,,,238.23379616097,12.1713774376697,44.3532461120711,33.2201925450506
1987,2.67566171341133,47.0472440944876,,,,314.999602622841,10.8838805416435,41.1254869226489,38.3198849935077
1988,6.28074900897693,51.0040160642574,,,,504.486020154114,16.4017130065211,44.0430847094702,33.6991856730364
1989,-1.02350178869868,123.40425531915,,,,526.361769256072,19.1407580842751,47.2834951034048,23.6712865976093
1990,-0.481072027781664,107.023809523808,,,,422.336298804219,18.2025763190401,45.2940709370037,24.8448032468678
1991,-0.0361333838823299,97.6423231742383,18.9,,,423.071256835592,15.8140297733418,46.2836924661369,28.6431203092601
1992,-1.73092217352566,165.70652700999,19.568,,,389.254665832226,21.2675485107907,43.7348041659936,24.3110519625538
1993,6.79727404907118,183.312041464393,19.7,,,390.916673784646,30.4787304635698,37.4428935375837,21.4548315553759
1994,-8.62544195231277,54.6013218413016,18.689,32.9503954636075,33.7001993659509,426.386598390102,11.826502598294,37.3249460731444,38.0478886818969
1995,2.89766889341698,34.9295874166667,16.834,32.9010267147932,36.3257479808032,433.312782642118,14.089372097349,34.3135138066491,39.6525085504343
1996,6.21854648894293,43.0730979982882,15.3,28.4789092185853,35.3425729569459,399.511304742449,13.2982447838973,33.2019994461786,41.5435244139859
1997,3.81400749718355,24.4187215689412,13.273,27.371257557966,30.90160506437,465.871942164799,13.9825484776443,32.3806375563294,41.4718491062604
1998,-0.38574614579035,24.4584563516656,12.0,24.6177635661228,31.6325434538366,373.084763057408,15.86841123023,27.2773913264713,44.8458308951369
1999,4.6501897463741,26.7876966790029,12.498,25.037219399921,34.7303148029946,349.515723095687,18.1899716550729,22.8198423592505,47.5025146082224
2000,3.89732294341896,26.0304117888121,12.93,23.9238608307712,36.4636081577253,359.429500988221,16.1497734560385,23.2438941549244,48.9595335232782
2001,5.31686827418419,21.3937821792546,13.404,25.109699098695,39.558583610284,396.548952993504,15.5274822358648,23.3606116903584,49.0993517149354
2002,4.50601428032604,22.2333446430947,14.131,27.1336783308698,37.782818668195,393.864625518616,15.361429938368,23.8755524352252,49.7243429106408
2003,6.94497398221223,21.4015783901995,14.704,25.6839640308427,36.6288806449202,446.290104839041,15.6170996158156,24.1349730396824,49.7205872731509
2004,7.03239511515218,17.9677891087286,15.332,33.5399822510719,37.2730926807002,548.685974566277,15.5809428822284,25.6961251757115,48.8099285446496
2005,7.23559900655543,18.324439701174,15.9,30.6107123143813,31.5895698769828,710.982068171696,14.5885513717285,26.8496240283076,48.9576146258726
2006,7.90369444480079,9.01957247226486,13.229,32.5929586871888,25.2638601867139,1051.71714895686,13.2062710587766,30.3961173223662,47.5154757432367
2007,8.35243624447406,10.6573496000153,10.559,33.5911932050133,32.1802654858934,1118.73162626953,12.1055962375597,31.9096804308122,47.4546801554357
2008,7.77389581542363,12.4455793463192,7.93,28.9193597052566,30.5355294153308,1375.50211006997,11.4539997547605,30.9906155705809,49.0298347278234
2009,9.2203484058663,13.3952546325895,10.583,29.2509976693348,26.8703832861816,1136.24168316848,11.5527836333973,30.2244688791227,51.5546034007674
2010,10.2982233241213,8.50176133365265,13.19,37.0259333072124,27.9887692133998,1451.10616017155,9.42094610981773,32.2389147610701,52.8064557009767
2011,5.56925219263019,6.4293968107234,10.548,40.4712226732921,32.3242097651362,1624.86817763443,9.64805782176724,34.4442819243584,50.3856175027169
2012,7.59738104901994,6.57589970757698,7.85,40.0829109943526,35.2847988615544,1710.05061343728,9.32163953570601,32.0106503918136,53.193632268128
2013,5.05753695047252,6.97767605490307,7.272,40.4827166938697,39.9735243274676,1820.71854827391,8.22652318427817,32.5564491082462,53.1376428491188
2014,4.69328316376705,7.80687553566333,6.576,38.8222899319378,37.3712097956936,1707.48573136694,6.77959785217865,32.9441480248783,53.5124177356887
2015,2.92037511217961,10.1105928909618,5.951,37.1385258014734,42.7267429559224,1295.87788680068,4.98083656431146,33.65724911523,56.2204142195756
2016,3.75510031678988,17.8697300795268,5.244,35.3246757489657,38.6338855056502,1239.08527877713,6.22847198956029,34.8771666095938,54.1825064091292
2017,3.52586277149926,6.57731154205644,4.529,34.9928577635918,36.5928368906648,1483.46577328065,4.0242711937365,37.3040449214626,52.0938849633709
2018,4.03449389667165,7.4945719272852,5.032,37.9574045480394,36.9309649794271,1463.89997855593,3.34112399209449,34.4853215849232,54.2445428614432
2019,1.44130602603785,9.15031644316296,5.538,34.6361926031881,34.1550123329079,1258.98619844462,2.86077493680796,34.9419812171167,54.6037591025552
2020,-2.78505506545167,15.7330604721369,6.032,46.7201864691576,32.4866629404379,951.644316655957,2.97263384548847,40.1976896628281,53.6857479089843
2021,6.23492204726448,22.0207676245777,5.197,52.2160900183192,33.9924211751453,1127.16077872857,3.00091831533747,41.8319384724467,50.9368691958614
2022,5.21122360356247,10.9932039209136,5.993,40.1939977114306,29.1033177078897,1447.12310138035,3.09401583407622,35.2838210182449,55.5345677860761
2023,5.36794285493059,10.884531691282,5.861,40.8461239686718,37.3957630764767,1330.72780576709,2.23012034259343,35.107778069402,56.8167642432298
2024,3.82004825518591,14.9856262747939,5.898,34.9818727491304,27.5530146573139,1187.10943350064,2.83370764465019,35.2465830565142,57.1882934058153
