Date,ZMW_per_USD,YearMonth
2013-01-03,0.1927042156457901,2013-01
2013-01-04,0.19223007559776306,2013-01
2013-01-07,0.19447684288024902,2013-01
2013-01-08,0.19270794093608856,2013-01
2013-01-09,0.19360709190368652,2013-01
2013-01-10,0.1939525604248047,2013-01
2013-01-11,0.19551488757133484,2013-01
2013-01-14,0.193363755941391,2013-01
2013-01-15,0.19198280572891235,2013-01
2013-01-16,0.19107306003570557,2013-01
2013-01-17,0.19210819900035858,2013-01
2013-01-18,0.19271165132522583,2013-01
2013-01-21,0.19108766317367554,2013-01
2013-01-22,0.1907341331243515,2013-01
2013-01-23,0.1907486915588379,2013-01
2013-01-24,0.19138023257255554,2013-01
2013-01-25,0.1926485300064087,2013-01
2013-01-28,0.19142787158489227,2013-01
2013-01-29,0.19113513827323914,2013-01
2013-01-30,0.19019360840320587,2013-01
2013-01-31,0.18860450387001038,2013-01
2013-02-01,0.18779343366622925,2013-02
2013-02-04,0.18851207196712494,2013-02
2013-02-05,0.18964536488056183,2013-02
2013-02-06,0.19061414897441864,2013-02
2013-02-07,0.18906451761722565,2013-02
2013-02-08,0.18830972909927368,2013-02
2013-02-11,0.19067594408988953,2013-02
2013-02-12,0.19162961840629578,2013-02
2013-02-13,0.19116437435150146,2013-02
2013-02-14,0.18962378799915314,2013-02
2013-02-15,0.1904834359884262,2013-02
2013-02-18,0.19154520332813263,2013-02
2013-02-19,0.19069048762321472,2013-02
2013-02-20,0.19192752242088318,2013-02
2013-02-21,0.18937242031097412,2013-02
2013-02-22,0.19059599936008453,2013-02
2013-02-25,0.19063958525657654,2013-02
2013-02-26,0.18703123927116394,2013-02
2013-02-27,0.18891450762748718,2013-02
2013-02-28,0.18960939347743988,2013-02
2013-03-01,0.18908238410949707,2013-03
2013-03-04,0.18980735540390015,2013-03
2013-03-05,0.19018998742103577,2013-03
2013-03-06,0.18916821479797363,2013-03
2013-03-07,0.18793459236621857,2013-03
2013-03-08,0.19053788483142853,2013-03
2013-03-11,0.18756799399852753,2013-03
2013-03-12,0.18987222015857697,2013-03
2013-03-13,0.18956267833709717,2013-03
2013-03-14,0.18754689395427704,2013-03
2013-03-15,0.18950878083705902,2013-03
2013-03-18,0.188291996717453,2013-03
2013-03-19,0.18830972909927368,2013-03
2013-03-20,0.1865427941083908,2013-03
2013-03-21,0.18718880414962769,2013-03
2013-03-22,0.18654976785182953,2013-03
2013-03-25,0.1876560002565384,2013-03
2013-03-26,0.18525037169456482,2013-03
2013-03-27,0.1864071786403656,2013-03
2013-03-28,0.1864871382713318,2013-03
2013-03-29,0.1864871382713318,2013-03
2013-04-01,0.18711525201797485,2013-04
2013-04-02,0.18721333146095276,2013-04
2013-04-03,0.1860361248254776,2013-04
2013-04-04,0.18656368553638458,2013-04
2013-04-05,0.18873265385627747,2013-04
2013-04-08,0.1869054138660431,2013-04
2013-04-09,0.18687397241592407,2013-04
2013-04-10,0.18751171231269836,2013-04
2013-04-11,0.18748007714748383,2013-04
2013-04-12,0.18761374056339264,2013-04
2013-04-15,0.19147184491157532,2013-04
2013-04-16,0.1892290860414505,2013-04
2013-04-17,0.19007432460784912,2013-04
2013-04-18,0.18746250867843628,2013-04
2013-04-19,0.18774054944515228,2013-04
2013-04-22,0.18755744397640228,2013-04
2013-04-23,0.18793459236621857,2013-04
2013-04-24,0.18762429058551788,2013-04
2013-04-25,0.1871642768383026,2013-04
2013-04-26,0.18649756908416748,2013-04
2013-04-29,0.18759965896606445,2013-04
2013-04-30,0.18884670734405518,2013-04
2013-05-01,0.1916920691728592,2013-05
2013-05-02,0.19054877758026123,2013-05
2013-05-03,0.18796639144420624,2013-05
2013-05-06,0.18964895606040955,2013-05
2013-05-07,0.18932940065860748,2013-05
2013-05-08,0.18906807899475098,2013-05
2013-05-09,0.19012852013111115,2013-05
2013-05-10,0.18803001940250397,2013-05
2013-05-13,0.18953752517700195,2013-05
2013-05-14,0.1888752579689026,2013-05
2013-05-15,0.18828491866588593,2013-05
2013-05-16,0.18840907514095306,2013-05
2013-05-17,0.18857607245445251,2013-05
2013-05-20,0.18763838708400726,2013-05
2013-05-21,0.18848009407520294,2013-05
2013-05-22,0.1892469823360443,2013-05
2013-05-23,0.18929354846477509,2013-05
2013-05-24,0.1907414048910141,2013-05
2013-05-27,0.1902153342962265,2013-05
2013-05-28,0.18957345187664032,2013-05
2013-05-29,0.18757152557373047,2013-05
