ZMW_per_USD,Date
0.19211397426468985,2013-01-01
0.18989213928580284,2013-02-01
0.18809285263220468,2013-03-01
0.1877840371294455,2013-04-01
0.18924646921779797,2013-05-01
0.18652026131749153,2013-06-01
0.18371459517789923,2013-07-01
0.1854726333509792,2013-08-01
0.1890073617299398,2013-09-01
0.18948630649935116,2013-10-01
0.18231162712687538,2013-11-01
0.1819153536449779,2013-12-01
0.1820922675340072,2014-01-01
0.17697587832808495,2014-02-01
0.16576633212112246,2014-03-01
0.16245107352733612,2014-04-01
0.15188697115941482,2014-05-01
0.1586380884760902,2014-06-01
0.1633839892304462,2014-07-01
0.1645028115738006,2014-08-01
0.16357018663124603,2014-09-01
0.1589324176311493,2014-10-01
0.15843471586704255,2014-11-01
0.1586725530417069,2014-12-01
0.15538026053797116,2015-01-01
0.14925889149308205,2015-02-01
0.13753065670078451,2015-03-01
0.13582960042086514,2015-04-01
0.13836678649697984,2015-05-01
0.13740146972916342,2015-06-01
0.13128575617852417,2015-07-01
0.125503404154664,2015-08-01
0.09991013224829327,2015-09-01
0.08356263691728766,2015-10-01
0.08188108070975259,2015-11-01
0.09300918326429698,2015-12-01
0.09033503170524325,2016-01-01
0.08862850602184023,2016-02-01
0.08851194511289182,2016-03-01
0.10271550253743217,2016-04-01
0.10039092701944438,2016-05-01
0.09356651692227884,2016-06-01
0.10184890386604127,2016-07-01
0.09983117392529613,2016-08-01
0.10086214102127335,2016-09-01
0.10140655083315712,2016-10-01
0.10218892720612613,2016-11-01
0.10211037505756725,2016-12-01
0.10120786523277109,2017-01-01
0.1027423694729805,2017-02-01
0.10472929898811423,2017-03-01
0.10625874884426594,2017-04-01
0.10852428979199866,2017-05-01
0.10875750908797438,2017-06-01
0.11255392916500569,2017-07-01
0.11167411992083424,2017-08-01
0.10705620369740895,2017-09-01
0.10294824838638306,2017-10-01
0.1000769989831107,2017-11-01
0.10039069397108895,2017-12-01
0.10197440275679463,2018-01-01
0.10242155939340591,2018-02-01
0.10435103117064996,2018-03-01
0.10552545494976498,2018-04-01
0.09934144467115402,2018-05-01
0.09963990464096978,2018-06-01
0.10132243484258652,2018-07-01
0.09939256180887637,2018-08-01
0.09246916696429253,2018-09-01
0.08431135215189146,2018-10-01
0.08461956476623361,2018-11-01
0.08401007311684745,2018-12-01
0.08390349084916322,2019-01-01
0.084089982137084,2019-02-01
0.08327362012295496,2019-03-01
0.08156863633881915,2019-04-01
0.07622206380421465,2019-05-01
0.07670975998044013,2019-06-01
0.07860800397136937,2019-07-01
0.07690728896043518,2019-08-01
0.07617550378754026,2019-09-01
0.07611504780209583,2019-10-01
0.07210370046751839,2019-11-01
0.0699852393432097,2019-12-01
0.06982743966838588,2020-01-01
0.06832141205668449,2020-02-01
0.061743932691487396,2020-03-01
0.05398093621161851,2020-04-01
0.05494297402245658,2020-05-01
0.05531743795356967,2020-06-01
0.055303813808638115,2020-07-01
0.05362139908330781,2020-08-01
0.05055215294388207,2020-09-01
0.04966209151528098,2020-10-01
0.0481031976995014,2020-11-01
0.04750405656902686,2020-12-01
0.04705792842876343,2021-01-01
0.04640194606035948,2021-02-01
0.04558746451916902,2021-03-01
0.045181747525930405,2021-04-01
0.044684097525619325,2021-05-01
0.044379567727446556,2021-06-01
0.045885102823376656,2021-07-01
0.0550880181518468,2021-08-01
0.061400455168702385,2021-09-01
0.05889747238584927,2021-10-01
0.05721821923824874,2021-11-01
0.059731724307588906,2021-12-01
0.058373123762153444,2022-01-01
0.05541820414364338,2022-02-01
0.055987368459286896,2022-03-01
0.05756029309261413,2022-04-01
0.05877975763922388,2022-05-01
0.05893993767147714,2022-06-01
0.06089506067690395,2022-07-01
0.06223085198713386,2022-08-01
0.06439851952547376,2022-09-01
0.06304827527630896,2022-10-01
0.060768492011861366,2022-11-01
0.0570487974380905,2022-12-01
0.05430411547422409,2023-01-01
0.051812274195253846,2023-02-01
0.04885300443224285,2023-03-01
0.053790990449488166,2023-04-01
0.05418854320178861,2023-05-01
0.053613190623846924,2023-06-01
0.05427594819948787,2023-07-01
0.05170760546689448,2023-08-01
0.048438690247989837,2023-09-01
0.04666673392057419,2023-10-01
0.04380154999142343,2023-11-01
0.04056271467180479,2023-12-01
0.03816768073517343,2024-01-01
0.03980266462479319,2024-02-01
0.040349502293836506,2024-03-01
0.03961645760996775,2024-04-01
0.037807844093312386,2024-05-01
0.038550522364676,2024-06-01
0.039557945631120514,2024-07-01
0.038492846726016564,2024-08-01
0.038012142514898664,2024-09-01
0.03780848047007685,2024-10-01
0.03671776538803464,2024-11-01
0.03646270727569407,2024-12-01
0.03598763336512176,2025-01-01
0.03561442326754331,2025-02-01
0.0349482995058809,2025-03-01
0.0356184983626008,2025-04-01
0.03710090724582022,2025-05-01
0.04081460709373156,2025-06-01
0.04268720551677372,2025-07-01
0.04333029900278364,2025-08-01
0.04224925522099842,2025-09-01
0.04392046627143155,2025-10-01
0.044284936226904395,2025-11-01
0.043853432617404244,2025-12-01
0.04979880761943365,2026-01-01
